name,discovered,method,orbit_days,radius_earths,distance_ly
DMPP-1 e,2019,Radial Velocity,5.516,1.86,204.0
Kepler-548 b,2016,Transit,4.4542,11.99,2452.0
Kepler-260 c,2014,Transit,76.05,1.74,2046.2
Kepler-1460 b,2016,Transit,29.963,1.96,1804.4
HD 133131 B b,2016,Radial Velocity,5769.0,13.3,167.3
HD 158259 d,2020,Radial Velocity,5.1981,2.18,88.2
WASP-138 b,2016,Transit,3.6344,12.22,1351.0
TOI-5181 A b,2025,Transit,3.8922,13.35,1566.1
Kepler-599 b,2016,Transit,15.656,2.84,1821.6
Kepler-158 d,2024,Transit,0.64509,0.43,1028.0
Kepler-575 b,2016,Transit,9.3789,2.39,2785.3
EPIC 246851721 b,2018,Transit,6.1802,11.78,1215.4
HD 1461 b,2010,Radial Velocity,5.7715,2.42,76.5
Gl 725 A b,2025,Radial Velocity,11.22,1.48,11.5
Kepler-1218 b,2016,Transit,22.922,1.44,2741.4
Kepler-1891 b,2021,Transit,4.0223,1.52,1944.7
Kepler-782 b,2016,Transit,158.69,3.21,1457.4
Kepler-330 c,2014,Transit,15.955,1.95,2340.3
Kepler-987 b,2016,Transit,105.3,3.26,2981.5
Kepler-385 d,2020,Transit,56.416,2.62,4672.5
Kepler-115 c,2014,Transit,8.9909,2.6,2033.9
TOI-2120 b,2024,Transit,5.7998,2.12,104.9
K2-395 b,2022,Transit,4.8034,2.6,935.2
KOI-1833 d,2021,Transit,7.685,2.58,946.9
Kepler-734 b,2016,Transit,6.1049,3.56,3774.3
HD 104067 c,2024,Radial Velocity,13.899,3.69,66.4
Kepler-514 b,2016,Transit,5.6518,1.72,1485.1
Kepler-1456 b,2016,Transit,18.137,1.14,1207.8
TOI-1411 b,2022,Transit,1.4521,1.2,105.9
Kepler-1614 b,2016,Transit,3.9466,1.49,3885.1
CoRoT-20 b,2011,Transit,9.2429,9.42,2753.0
K2-187 d,2018,Transit,7.1496,2.4,1079.3
HD 44219 b,2010,Radial Velocity,472.0,14.1,172.6
Kepler-142 c,2014,Transit,4.7617,2.86,1789.6
HD 72659 b,2002,Radial Velocity,3549.0,13.2,169.3
Kepler-652 b,2016,Transit,4.182,2.49,1286.8
TOI-332 b,2023,Transit,0.77704,3.2,726.8
K2-62 b,2016,Transit,6.672,2.02,366.8
K2-380 b,2022,Transit,9.4013,2.73,813.1
Kepler-785 b,2016,Transit,1.9738,13.02,2094.1
K2-224 b,2018,Transit,4.479,1.56,897.8
Kepler-1066 b,2016,Transit,1.9316,2.36,1122.8
Kepler-1315 c,2021,Transit,6.5661,1.84,1568.4
TOI-375 d,2026,Radial Velocity,297.9,13.6,1292.3
KIC 9663113 b,2015,Transit,572.38,4.6,5201.3
NGTS-12 b,2020,Transit,7.5328,11.75,1456.1
Kepler-1240 b,2016,Transit,4.8664,1.15,2812.1
KIC 7917485 b,2016,Pulsation Timing Variations,840.0,12.4,4510.4
HD 26161 b,2021,Radial Velocity,10942.0,11.9,133.4
Kepler-1323 b,2016,Transit,0.92991,1.52,1518.0
TOI-2379 b,2024,Transit,5.4694,11.72,689.0
Kepler-657 b,2016,Transit,24.544,3.52,5518.2
K2-198 c,2019,Transit,3.3596,1.42,360.6
HD 170469 b,2007,Radial Velocity,1145.0,14.1,196.3
Kepler-139 d,2023,Transit,7.3057,1.7,1275.4
Kepler-1639 b,2016,Transit,9.8785,2.58,3363.7
TOI-2580 b,2024,Transit,3.3977,17.37,1237.0
Kepler-1000 b,2016,Transit,120.02,4.76,3638.7
TOI-2088 b,2024,Transit,124.73,3.68,412.5
HIP 98599 b,2026,Radial Velocity,2656.0,12.7,247.7
K2-154 b,2018,Transit,3.6763,1.99,421.9
Kepler-240 b,2014,Transit,4.1445,1.37,2436.1
HIP 38594 c,2020,Radial Velocity,3477.8,7.94,58.0
Kepler-145 c,2013,Transit,42.882,4.32,1848.8
Kepler-144 b,2014,Transit,5.8853,1.33,1255.4
TOI-1846 b,2025,Transit,3.9307,1.79,154.1
Kepler-1957 b,2021,Transit,2.1866,0.94,1503.2
Kepler-219 b,2014,Transit,4.5855,2.95,2567.1
TIC 365102760 b,2024,Transit,4.2129,6.21,1811.9
Kepler-1153 b,2016,Transit,1.7558,1.73,3651.3
Kepler-327 b,2014,Transit,2.5496,1.11,789.3
K2-72 b,2016,Transit,5.5772,1.08,216.7
TOI-5126 c,2023,Transit,17.9,3.86,523.2
Kepler-405 b,2014,Transit,10.614,2.08,3473.8
Kepler-451 d,2022,Eclipse Timing Variations,43.0,13.5,1292.7
Kepler-1421 b,2016,Transit,6.9131,0.93,2555.1
K2-332 b,2021,Transit,17.706,2.2,401.8
Kepler-1288 b,2016,Transit,2.7612,1.12,2655.2
GJ 1151 c,2023,Radial Velocity,389.7,3.25,26.2
Kepler-80 c,2012,Transit,9.5236,2.74,1205.0
Kepler-925 b,2016,Transit,33.868,2.34,1993.2
Kepler-194 d,2014,Transit,52.815,2.4,3581.1
Kepler-945 b,2016,Transit,31.003,2.63,5385.7
HD 156846 b,2007,Radial Velocity,359.51,12.4,155.7
TOI-2025 b,2022,Transit,8.8721,11.89,1095.8
Kepler-1878 b,2021,Transit,4.4459,2.92,4873.7
Kepler-1447 b,2016,Transit,56.675,2.9,2903.8
Kepler-1805 b,2021,Transit,8.8479,1.55,722.9
HD 158259 f,2020,Radial Velocity,12.028,2.35,88.2
Kepler-370 b,2014,Transit,4.5795,1.59,3809.3
Kepler-956 b,2016,Transit,5.2487,3.0,1777.4
HD 63433 b,2020,Transit,7.1079,2.14,73.1
Kepler-1142 b,2016,Transit,18.303,1.47,4153.6
Kepler-853 b,2016,Transit,7.1689,1.69,1854.8
Kepler-451 c,2022,Eclipse Timing Variations,1460.0,13.5,1292.7
WISPIT 1 b,2025,Imaging,,12.4,750.2
TOI-2529 b,2024,Transit,64.595,11.55,966.3
KOI-1599.01,2019,Transit,20.442,1.9,3690.9
Kepler-1759 b,2021,Transit,3.7202,0.9,1256.8
Kepler-1215 b,2016,Transit,4.767,1.22,2156.0
Kepler-1733 b,2021,Transit,9.2296,3.64,6785.7
Kepler-357 c,2014,Transit,16.858,2.67,2245.8
Kepler-194 c,2014,Transit,17.308,2.59,3581.1
Kepler-1056 b,2016,Transit,27.496,3.01,3204.5
Kepler-1424 b,2016,Transit,29.609,1.16,2157.3
Kepler-1642 c,2016,Transit,6.6514,2.66,1349.9
HD 164595 b,2015,Radial Velocity,40.0,4.16,92.2
K2-24 c,2016,Transit,42.347,7.93,556.3
Kepler-235 d,2014,Transit,20.061,2.05,1396.0
HD 97037 b,2022,Radial Velocity,6449.1,12.1,105.7
Kepler-776 b,2016,Transit,4.8972,1.28,2374.1
K2-352 b,2021,Transit,3.6659,1.37,574.2
TOI-3288 b,2025,Transit,1.4339,12.24,653.9
Kepler-1420 b,2016,Transit,6.6996,1.28,3438.9
K2-333 b,2021,Transit,14.759,6.18,1121.9
Kepler-79 e,2014,Transit,81.067,3.53,3329.1
Kepler-20 d,2011,Transit,77.611,2.61,921.6
DMPP-1 c,2019,Radial Velocity,10.03,3.31,204.0
Kepler-947 b,2016,Transit,26.964,2.28,5645.0
Kepler-689 b,2016,Transit,22.367,2.89,3691.2
NGC 2682 YBP 1194 b,2014,Radial Velocity,6.959,12.3,2847.1
HD 211970 b,2019,Radial Velocity,25.201,3.66,42.8
Kepler-336 c,2014,Transit,9.6,2.1,2507.7
Kepler-423 b,2014,Transit,2.6843,13.36,2474.7
2M0437 b,2021,Imaging,,13.0,419.1
Kepler-561 b,2016,Transit,58.362,6.96,2026.7
24 Boo b,2018,Radial Velocity,30.33,13.9,313.1
HD 74156 c,2003,Radial Velocity,2448.5,12.5,187.9
Kepler-1365 c,2016,Transit,4.7747,0.8,2740.1
HD 20003 c,2019,Radial Velocity,33.924,3.89,136.4
Kepler-716 b,2016,Transit,10.372,2.9,2071.1
TOI-4562 b,2023,Transit,225.11,12.53,1107.6
HD 134606 b,2024,Radial Velocity,12.089,2.97,87.4
K2-66 b,2016,Transit,5.0696,2.49,1676.0
TIC 437041147 b,2026,Transit,3.823,2.22,804.3
Kepler-583 b,2016,Transit,6.51,2.28,2828.7
Kepler-1649 c,2020,Transit,19.535,1.06,300.7
WASP-57 b,2012,Transit,2.8389,11.77,1299.0
Kepler-381 d,2021,Transit,8.2563,1.07,871.9
TOI-1199 b,2024,Transit,3.6715,10.51,810.3
TOI-4961 b,2025,Transit,7.4792,12.34,695.0
Kepler-118 c,2014,Transit,20.172,7.68,1872.9
Kepler-278 b,2014,Transit,30.156,3.96,1445.0
K2-268 e,2021,Transit,6.1312,1.33,1069.1
Kepler-1254 d,2016,Transit,5.7272,1.31,2031.4
HD 167768 b,2022,Radial Velocity,20.653,13.9,349.7
TOI-1036 b,2026,Transit,3.7795,6.28,600.2
EPIC 212424622 b,2019,Transit,18.098,2.17,1995.4
Kepler-1915 b,2021,Transit,13.835,3.22,4940.2
Kepler-1734 b,2021,Transit,6.7969,3.09,4836.3
Kepler-960 b,2016,Transit,3.1269,2.29,929.3
HD 208897 b,2017,Radial Velocity,358.27,13.7,220.1
Kepler-1386 b,2016,Transit,6.7397,1.24,2726.3
Kepler-1921 c,2023,Transit,3.1572,1.41,3030.0
Kepler-1225 b,2016,Transit,7.0108,1.82,4395.0
Kepler-1708 b,2021,Transit,737.11,9.96,5436.0
HD 96700 b,2021,Radial Velocity,8.1245,2.93,82.9
Kepler-208 b,2014,Transit,4.2286,1.63,2528.8
Kepler-1146 b,2016,Transit,2.3523,1.23,2293.0
WASP-100 b,2014,Transit,2.8494,14.91,1188.5
Kepler-1643 b,2016,Transit,5.3427,2.32,1114.7
Kepler-215 d,2014,Transit,30.864,2.39,1585.1
EPIC 212737443 b,2019,Transit,13.603,2.59,1096.7
TOI-2169 A b,2025,Transit,8.2148,12.51,1146.4
K2-259 b,2018,Transit,15.48,2.32,1358.3
TOI-5292 A b,2026,Transit,2.0219,12.64,1099.5
Kepler-401 c,2014,Transit,47.318,2.15,3149.2
Kepler-888 b,2016,Transit,70.698,1.76,1372.5
Kepler-740 b,2016,Transit,3.5841,4.57,4703.2
Kepler-1673 b,2020,Transit,33.789,2.94,2371.8
Kepler-1322 c,2021,Transit,6.46,2.15,4404.1
Kepler-1211 b,2016,Transit,11.018,2.55,5957.3
HIP 78530 b,2010,Imaging,,12.0,446.0
Kepler-48 f,2023,Radial Velocity,5219.7,13.8,1000.4
Kepler-1750 b,2021,Transit,205.91,6.0,4883.6
TOI-4308 b,2023,Transit,9.1512,2.42,355.3
HD 18015 b,2018,Radial Velocity,2278.0,13.1,403.8
TOI-1798.02,2024,Transit,0.43781,1.46,369.1
Kepler-24 b,2011,Transit,8.14,2.35,3773.0
Kepler-1875 b,2021,Transit,34.459,3.23,5415.7
Kepler-1642 b,2016,Transit,12.206,3.2,1349.9
HD 33142 c,2016,Radial Velocity,810.2,13.9,395.9
Kepler-864 b,2016,Transit,5.8338,2.4,6597.8
HD 181720 b,2009,Radial Velocity,956.0,14.0,196.4
TOI-6677 b,2026,Transit,5.4506,5.84,1110.6
Kepler-1394 b,2016,Transit,3.9377,1.39,2088.7
Kepler-1672 b,2020,Transit,150.88,2.97,1275.9
HD 331093 b,2021,Radial Velocity,621.62,13.6,163.7
Kepler-58 d,2014,Transit,40.101,2.94,3161.3
Kepler-404 c,2014,Transit,14.751,1.72,2650.1
Kepler-1254 b,2016,Transit,9.9911,1.55,2031.4
HD 37124 d,2005,Radial Velocity,1862.0,14.0,103.3
WASP-3 b,2007,Transit,1.8468,15.92,753.9
Kepler-1936 b,2021,Transit,126.56,3.17,2841.1
Kepler-1615 b,2016,Transit,47.313,2.06,4546.1
Kepler-327 d,2014,Transit,13.969,1.73,789.3
Kepler-1301 b,2016,Transit,9.0824,1.4,2786.3
Kepler-784 c,2023,Transit,17.157,1.55,4252.2
Kepler-1553 b,2016,Transit,4.2426,1.15,2258.9
Kepler-1862 b,2021,Transit,16.057,2.2,4018.9
Kepler-990 b,2016,Transit,9.9172,2.6,2616.3
Kepler-1537 b,2016,Transit,1.4445,1.18,1687.2
HATS-28 b,2016,Transit,3.1811,13.38,1746.2
HR 858 d,2019,Transit,11.231,2.0,104.3
TOI-2193 A b,2022,Transit,2.1226,19.84,1099.4
GJ 9773 b,2025,Radial Velocity,2965.0,14.2,51.9
Kepler-1785 b,2021,Transit,19.586,2.7,2432.3
Kepler-130 d,2014,Transit,87.518,1.64,1032.8
HD 13808 c,2021,Radial Velocity,53.753,3.13,92.1
Kepler-340 b,2014,Transit,14.844,2.53,2637.8
HD 125271 b,2022,Radial Velocity,14902.0,12.4,128.3
Kepler-1085 b,2016,Transit,219.32,7.22,4450.5
Kepler-1404 b,2016,Transit,15.931,2.01,3138.2
K2-99 c,2022,Radial Velocity,522.2,12.6,1693.5
TOI-1728 b,2020,Transit,3.4915,5.05,198.3
HATS-74 A b,2021,Transit,1.7319,11.57,976.5
Kepler-1207 b,2016,Transit,13.682,1.62,5721.4
Kepler-1636 b,2016,Transit,425.48,3.23,6352.0
Kepler-1267 b,2016,Transit,13.031,3.01,4499.1
K2-73 c,2025,Radial Velocity,1000.0,13.0,878.0
Kepler-1795 b,2021,Transit,13.36,1.66,
K2-285 b,2018,Transit,3.4717,2.59,505.4
WISPIT 1 c,2025,Imaging,,12.8,750.2
TIC 349520724 b,2026,Transit,7.9404,2.83,786.4
LP 714-47 b,2020,Transit,4.052,4.25,171.6
Kepler-963 b,2016,Transit,9.9768,2.66,2516.3
XO-2 S b,2014,Radial Velocity,18.22,10.9,493.8
Kepler-1748 b,2021,Transit,5.8235,2.71,3533.2
Kepler-336 d,2014,Transit,20.679,2.37,2507.7
Kepler-712 b,2016,Transit,21.022,3.41,2845.7
TOI-4364 b,2025,Transit,5.424,2.01,143.4
Kepler-247 b,2014,Transit,3.3362,1.64,2164.7
TOI-5628 A b,2026,Transit,4.3417,8.29,358.9
EPIC 201427007 b,2021,Transit,0.72091,1.5,2303.9
TOI-2992 b,2025,Transit,3.0078,13.75,1767.9
K2-268 b,2018,Transit,2.1517,1.5,1069.1
Kepler-1096 b,2016,Transit,2.8922,1.24,1232.8
TOI-615 b,2023,Transit,4.6616,18.98,1175.5
HAT-P-28 b,2011,Transit,3.2572,13.58,1308.9
Kepler-667 b,2016,Transit,41.44,4.73,7509.6
Kepler-557 b,2016,Transit,3.706,2.67,6839.9
EPIC 206024342 d,2021,Transit,14.648,2.6,1206.4
rho CrB c,2016,Radial Velocity,102.04,5.68,57.0
Kepler-483 b,2016,Transit,30.229,3.21,2806.1
HD 73534 b,2008,Radial Velocity,1750.0,13.7,271.8
HD 35843 b,2025,Radial Velocity,9.8991,2.29,227.0
Kepler-116 b,2014,Transit,5.9687,3.42,3115.3
HAT-P-62 b,2021,Transit,2.6453,12.03,1137.7
TOI-3896 b,2026,Transit,4.3773,3.15,592.5
Kepler-443 b,2015,Transit,177.67,2.33,2616.7
TOI-4504 d,2024,Transit Timing Variations,41.287,11.26,1117.4
HD 150010 b,2022,Radial Velocity,562.0,13.3,471.3
Kepler-552 b,2016,Transit,5.2634,3.95,2751.7
TOI-2719 b,2025,Transit,3.3759,5.98,1919.0
HD 23596 b,2003,Radial Velocity,1535.1,12.4,169.6
HATS-46 b,2018,Transit,4.7424,10.66,1480.1
TOI-426 b,2026,Transit,1.3205,2.19,370.5
TOI-1452 b,2022,Transit,11.062,1.67,99.5
TOI-2084 b,2023,Transit,6.0784,2.47,373.6
TOI-2152 A b,2023,Transit,3.3774,14.36,988.3
TOI-426 c,2026,Radial Velocity,235.8,13.6,370.5
K2-347 b,2021,Transit,7.1873,2.41,1044.8
Kepler-812 b,2016,Transit,10.117,3.55,4836.0
TOI-2266 b,2024,Transit,2.3263,1.54,168.3
Kepler-1187 b,2016,Transit,18.871,2.61,3328.5
Kepler-1547 b,2016,Transit,0.69298,0.9,2200.6
Kepler-170 b,2014,Transit,7.9306,3.2,2409.2
GJ 15 A b,2014,Radial Velocity,11.441,1.55,11.6
Kepler-100 b,2014,Transit,6.8873,1.34,993.6
Kepler-1258 b,2016,Transit,0.98494,0.86,2340.3
NSVS 14256825 b,2019,Eclipse Timing Variations,3225.0,12.3,2677.3
TOI-1266 b,2020,Transit,10.895,2.52,117.5
Kepler-659 b,2016,Transit,17.672,2.5,2356.9
GJ 27.1 b,2014,Radial Velocity,15.819,3.66,77.0
TOI-4495 c,2024,Transit,5.1855,4.03,431.2
Kepler-798 b,2016,Transit,13.719,2.39,3171.1
TOI-5082.01,2024,Transit,4.2401,2.55,140.7
Kepler-364 c,2014,Transit,59.981,2.15,2907.6
TOI-1260 d,2022,Transit,16.608,3.12,240.0
HD 50499 b,2005,Radial Velocity,2447.1,13.5,151.0
HD 20794 f,2025,Radial Velocity,647.6,2.28,19.6
Kepler-1595 b,2016,Transit,4.5638,1.23,2756.1
HD 99109 b,2005,Radial Velocity,439.3,14.3,178.7
KOI-3503 b,2021,Transit,21.185,1.19,2893.2
Kepler-526 b,2016,Transit,5.4585,1.99,2172.7
HD 28109 c,2022,Transit,55.997,4.13,455.3
K2-11 b,2015,Transit,39.938,7.55,1074.1
NGTS-26 b,2024,Transit,4.5199,14.89,3567.1
KOI-319 b,2014,Transit,46.148,10.67,2153.1
TOI-1743 b,2025,Transit,4.266,1.83,134.6
Kepler-1837 b,2021,Transit,5.9061,2.07,4009.0
Kepler-1986 b,2023,Transit,19.549,1.89,2974.8
Kepler-696 b,2016,Transit,4.1904,6.14,4619.8
Kepler-189 c,2014,Transit,20.135,2.38,1929.3
HD 105618 b,2022,Radial Velocity,10.022,5.44,228.6
TOI-1301.01,2024,Transit,6.0964,2.48,296.4
Kepler-1497 b,2016,Transit,8.742,1.66,3659.5
EPIC 212624936 b,2021,Transit,0.57866,1.2,1832.8
Kepler-194 b,2014,Transit,2.0923,1.51,3581.1
Kepler-661 b,2016,Transit,6.0293,3.07,1744.2
Kepler-529 c,2016,Transit,12.835,2.0,2606.0
HAT-P-61 b,2021,Transit,1.9023,10.08,1105.1
TOI-2589 b,2023,Transit,61.628,12.11,653.2
HD 95872 b,2015,Radial Velocity,4375.0,13.0,235.5
Kepler-1412 b,2016,Transit,3.6146,0.83,2464.7
Kepler-760 c,2016,Transit,2.467,1.48,2584.3
2MASS J0249-0557 c,2018,Imaging,,17.37,215.5
TOI-4504 c,2024,Transit,82.819,11.17,1117.4
Kepler-1540 b,2016,Transit,125.41,2.49,799.0
TIC 445839811 b,2026,Transit,11.109,2.48,768.6
Kepler-225 c,2014,Transit,18.794,1.84,1830.1
Kepler-180 b,2014,Transit,13.817,1.5,2268.9
HD 18438 b,2023,Radial Velocity,803.0,12.1,731.1
HD 154088 b,2021,Radial Velocity,18.56,2.46,59.6
HD 24064 b,2015,Radial Velocity,535.6,12.3,979.3
Kepler-1349 b,2016,Transit,2.1282,0.7,901.2
HD 29399 b,2022,Radial Velocity,892.7,13.5,144.0
TOI-4511 b,2026,Transit,10.981,2.75,397.4
Kepler-411 e,2018,Transit Timing Variations,31.51,3.28,501.2
eps Ind A b,2019,Radial Velocity,25450.0,12.7,11.9
Kepler-1306 b,2016,Transit,16.296,1.91,3612.2
TOI-2200 b,2026,Transit,2.936,6.96,819.5
K2-285 c,2018,Transit,7.138,3.53,505.4
Kepler-345 b,2014,Transit,7.4156,0.74,848.0
Kepler-539 c,2016,Transit Timing Variations,1000.0,13.3,1002.3
HD 33844 b,2015,Radial Velocity,551.4,13.4,345.0
GJ 317 c,2016,Radial Velocity,6500.0,13.6,49.6
Kepler-467 b,2016,Transit,24.993,2.25,1520.8
Kepler-964 b,2016,Transit,13.523,2.12,1482.8
TOI-1386 c,2024,Radial Velocity,232.0,10.3,479.0
HD 99706 c,2016,Radial Velocity,1278.0,12.8,478.1
Kepler-1262 b,2016,Transit,8.679,1.82,3440.5
BEBOP-3 b,2025,Radial Velocity,547.0,14.2,388.3
Kepler-1071 b,2016,Transit,6.18,2.38,3399.4
Kepler-1515 b,2016,Transit,214.31,9.55,1759.0
Kepler-1809 b,2021,Transit,3.7573,1.51,1335.9
K2-242 b,2018,Transit,6.5139,2.54,356.3
TIC 77319217 b,2026,Transit,7.5483,3.11,872.9
Kepler-649 b,2016,Transit,29.907,2.26,1675.6
HAT-P-55 b,2015,Transit,3.5852,14.84,1667.9
Kepler-344 c,2014,Transit,125.6,2.95,3271.1
HIP 65891 b,2015,Radial Velocity,1089.6,12.7,490.2
GJ 4274 c,2026,Radial Velocity,69.57,2.83,23.6
Kepler-1111 b,2016,Transit,8.7962,2.0,2744.7
Kepler-172 b,2014,Transit,2.9403,2.35,2702.5
K2-139 b,2017,Transit,28.381,9.11,501.8
HD 64121 b,2022,Radial Velocity,623.0,13.2,423.9
Kepler-902 b,2016,Transit,40.11,2.54,3800.8
Kepler-894 b,2016,Transit,9.8032,2.78,3792.9
Kepler-1794 b,2021,Transit,9.763,1.79,1830.5
TOI-1064 b,2022,Transit,6.4439,2.59,222.0
Kepler-884 b,2016,Transit,5.6992,1.23,1554.9
Kepler-1019 b,2016,Transit,1.4112,1.46,633.3
WASP-28 b,2014,Transit,3.4088,13.66,1136.6
GJ 3341 b,2015,Radial Velocity,14.207,2.46,77.0
TOI-4552 b,2026,Transit,0.3011,1.11,88.9
GJ 1289 b,2024,Radial Velocity,111.74,2.38,27.2
Kepler-555 b,2016,Transit,16.218,2.83,3173.9
Kepler-683 b,2016,Transit,2.5392,1.97,3336.8
HATS-10 b,2015,Transit,3.3128,10.86,1744.6
Kepler-1977 b,2023,Transit,4.537,1.66,1933.2
Kepler-715 b,2016,Transit,10.007,3.75,4329.5
TOI-1694 b,2023,Transit,3.7701,5.27,406.7
Kepler-164 d,2014,Transit,28.987,2.45,2905.3
Kepler-786 b,2016,Transit,53.529,2.43,1582.9
TOI-3785 b,2023,Transit,4.6747,5.14,260.2
WASP-145 A b,2018,Transit,1.769,10.09,297.8
WASP-136 b,2016,Transit,5.2154,16.81,898.8
HATS-12 b,2016,Transit,3.1427,7.76,2433.6
TOI-1296 b,2021,Transit,3.9444,14.12,1054.3
HD 98736 b,2018,Radial Velocity,968.8,13.3,105.8
Kepler-1136 b,2016,Transit,2.3617,1.64,1602.8
GJ 667 C f,2013,Radial Velocity,39.026,1.45,23.6
Kepler-635 b,2016,Transit,23.45,2.64,3721.7
TOI-1279 b,2024,Transit,9.6142,2.66,349.2
Kepler-468 b,2016,Transit,38.479,13.34,1444.5
DE CVn b,2018,Eclipse Timing Variations,4098.1,12.4,99.6
TOI-682.01,2021,Transit,6.8392,3.74,271.2
USco CTIO 108 b,2008,Imaging,,12.3,469.7
Kepler-1496 b,2016,Transit,64.659,2.22,4265.0
HD 102272 b,2008,Radial Velocity,127.58,12.9,1132.1
Kepler-366 c,2014,Transit,12.516,1.79,6054.4
KOI-2513.01,2023,Transit,19.005,2.8,4467.9
Kepler-537 b,2016,Transit,3.2476,1.41,1433.1
GJ 3323 b,2017,Radial Velocity,5.3636,1.23,17.5
TOI-4495 b,2026,Transit,2.567,2.48,431.2
Kepler-1761 b,2021,Transit,4.0435,1.39,721.4
NGTS-6 b,2019,Transit,0.88206,14.86,1005.4
Kepler-920 c,2016,Transit,100.83,3.8,3267.0
Kepler-818 b,2016,Transit,10.035,5.11,3017.1
Kepler-139 c,2014,Transit,157.07,3.38,1275.4
Kepler-959 b,2016,Transit,14.801,4.38,2634.5
BD-210397 c,2023,Radial Velocity,6240.0,12.9,77.4
Kepler-1436 b,2016,Transit,9.7057,1.31,8253.8
HU Aqr AB c,2011,Eclipse Timing Variations,4368.0,12.9,626.9
Kepler-1597 b,2016,Transit,2.9465,1.06,3982.5
WASP-83 b,2015,Transit,4.9713,11.66,884.2
HD 116029 c,2016,Radial Velocity,907.0,13.7,402.0
Kepler-282 e,2013,Transit,44.347,3.1,4362.7
XO-2 S c,2014,Radial Velocity,120.06,13.6,493.8
Kepler-850 b,2016,Transit,7.193,1.78,5418.4
Kepler-65 d,2012,Transit,8.1312,1.52,990.6
Kepler-1090 b,2016,Transit,198.68,2.25,2800.9
TOI-715 b,2023,Transit,19.288,1.55,138.3
GJ 393 b,2021,Radial Velocity,7.0268,1.17,22.9
Kepler-1680 b,2020,Transit,8.7742,1.36,1012.1
Gaia-2 b,2022,Transit,3.6915,14.82,682.4
WASP-124 b,2016,Transit,3.3727,13.9,1463.3
TOI-1439 b,2024,Transit,27.644,4.24,751.2
GJ 1061 c,2020,Radial Velocity,6.6821,1.19,12.0
K2-50 b,2016,Transit,8.7529,1.59,839.7
Kepler-23 b,2011,Transit,7.1,1.64,2725.9
Kepler-257 b,2014,Transit,2.3827,2.61,2544.9
TOI-1736 c,2023,Radial Velocity,571.25,12.5,290.1
Kepler-310 d,2014,Transit,92.876,2.47,1964.3
WASP-192 b,2019,Transit,2.8787,13.79,1659.8
Kepler-184 b,2014,Transit,10.688,2.36,1990.6
Kepler-1744 b,2021,Transit,37.101,3.77,3560.4
Kepler-1107 b,2016,Transit,0.57104,1.34,1398.6
Kepler-40 b,2010,Transit,6.8735,13.11,7517.9
TOI-908 b,2023,Transit,3.1838,3.19,573.2
Kepler-851 b,2016,Transit,8.507,1.68,2737.3
HD 99492 c,2023,Radial Velocity,95.233,4.42,59.4
G 264-012 c,2021,Radial Velocity,8.0518,1.76,52.2
Kepler-827 b,2016,Transit,51.929,5.63,6675.4
Kepler-228 c,2014,Transit,4.1344,2.7,5364.0
K2-346 b,2021,Transit,26.201,2.26,344.4
Kepler-77 b,2013,Transit,3.5788,10.76,2085.5
Kepler-1509 b,2016,Transit,25.434,1.85,6532.8
GJ 581 b,2005,Radial Velocity,5.3686,4.79,20.5
K2-403 b,2022,Transit,33.59,5.33,804.3
HD 43691 b,2007,Radial Velocity,36.999,13.2,279.2
Kepler-1574 b,2016,Transit,6.9424,1.29,4514.5
Kepler-238 f,2013,Transit,50.447,2.0,5866.7
K2-253 b,2018,Transit,4.0017,12.67,2859.0
Kepler-1290 b,2016,Transit,4.695,1.42,5197.9
Kepler-68 d,2013,Radial Velocity,632.62,13.9,470.2
Kepler-218 b,2014,Transit,3.6193,1.48,2140.8
Kepler-645 b,2016,Transit,3.2758,2.1,3827.7
TOI-1450 A b,2024,Transit,2.0439,1.13,73.2
HD 206610 b,2009,Radial Velocity,673.2,13.4,480.1
Kepler-99 b,2014,Transit,4.6036,1.48,679.6
Kepler-1010 b,2016,Transit,34.269,2.32,1889.3
Kepler-687 b,2016,Transit,20.506,3.52,2066.7
Kepler-1855 b,2021,Transit,0.72733,1.22,
UCAC4 328-061594 b,2024,Imaging,,12.1,130.2
Kepler-1363 b,2016,Transit,2.9419,1.25,1766.8
Kepler-296 b,2014,Transit,10.864,1.61,544.7
BD+48 738 b,2011,Radial Velocity,392.6,13.9,2842.4
HR 8799 c,2008,Imaging,69000.0,13.0,134.5
Kepler-1773 b,2021,Transit,40.81,3.5,2222.0
Kepler-989 b,2016,Transit,7.9643,2.21,1604.6
Kepler-1508 b,2016,Transit,20.706,1.33,4110.5
TOI-7041 b,2025,Transit,9.691,11.43,1433.5
K2-37 c,2016,Transit,6.4297,2.41,586.9
2MASS J19383260+4603591 b,2015,Eclipse Timing Variations,406.0,13.4,1292.7
TOI-1260 b,2021,Transit,3.1275,2.41,240.0
HIP 39330 b,2026,Radial Velocity,4650.0,13.5,118.7
Kepler-52 c,2012,Transit,16.385,1.84,1048.7
Kepler-1637 b,2016,Transit,6.1096,0.89,1849.9
Kepler-1990 b,2023,Transit,1.7351,3.27,1280.9
TOI-1749 c,2021,Transit,4.4929,2.12,324.7
GJ 9714 b,2022,Radial Velocity,19241.0,12.5,66.9
Kepler-312 b,2014,Transit,1.7724,1.29,2601.8
Kepler-1671 b,2020,Transit,4.1679,1.33,1164.6
Kepler-466 b,2016,Transit,51.079,2.85,1729.0
