book,chapter,character,mentions
pride-and-prejudice,12,Mr Bingley,3
pride-and-prejudice,12,Miss Bingley,2
pride-and-prejudice,12,Wickham,0
pride-and-prejudice,12,Lydia,1
pride-and-prejudice,12,Mr Collins,0
pride-and-prejudice,12,Charlotte,0
pride-and-prejudice,12,Mrs Bennet,2
pride-and-prejudice,12,Mr Bennet,0
pride-and-prejudice,12,Lady Catherine,0
pride-and-prejudice,13,Elizabeth,2
pride-and-prejudice,13,Darcy,0
pride-and-prejudice,13,Jane,2
pride-and-prejudice,13,Mr Bingley,3
pride-and-prejudice,13,Miss Bingley,0
pride-and-prejudice,13,Wickham,0
pride-and-prejudice,13,Lydia,2
pride-and-prejudice,13,Mr Collins,6
pride-and-prejudice,13,Charlotte,1
pride-and-prejudice,13,Mrs Bennet,5
pride-and-prejudice,13,Mr Bennet,4
pride-and-prejudice,13,Lady Catherine,3
pride-and-prejudice,14,Elizabeth,1
pride-and-prejudice,14,Darcy,0
pride-and-prejudice,14,Jane,0
pride-and-prejudice,14,Mr Bingley,0
pride-and-prejudice,14,Miss Bingley,0
pride-and-prejudice,14,Wickham,0
pride-and-prejudice,14,Lydia,4
pride-and-prejudice,14,Mr Collins,4
pride-and-prejudice,14,Charlotte,0
pride-and-prejudice,14,Mrs Bennet,3
pride-and-prejudice,14,Mr Bennet,8
pride-and-prejudice,14,Lady Catherine,5
pride-and-prejudice,15,Elizabeth,6
pride-and-prejudice,15,Darcy,3
pride-and-prejudice,15,Jane,6
pride-and-prejudice,15,Mr Bingley,3
pride-and-prejudice,15,Miss Bingley,0
pride-and-prejudice,15,Wickham,5
pride-and-prejudice,15,Lydia,5
pride-and-prejudice,15,Mr Collins,9
pride-and-prejudice,15,Charlotte,0
pride-and-prejudice,15,Mrs Bennet,4
pride-and-prejudice,15,Mr Bennet,2
pride-and-prejudice,15,Lady Catherine,1
pride-and-prejudice,16,Elizabeth,18
pride-and-prejudice,16,Darcy,21
pride-and-prejudice,16,Jane,0
pride-and-prejudice,16,Mr Bingley,4
pride-and-prejudice,16,Miss Bingley,0
pride-and-prejudice,16,Wickham,19
pride-and-prejudice,16,Lydia,4
pride-and-prejudice,16,Mr Collins,9
pride-and-prejudice,16,Charlotte,0
pride-and-prejudice,16,Mrs Bennet,1
pride-and-prejudice,16,Mr Bennet,0
pride-and-prejudice,16,Lady Catherine,6
pride-and-prejudice,17,Elizabeth,10
pride-and-prejudice,17,Darcy,4
pride-and-prejudice,17,Jane,6
pride-and-prejudice,17,Mr Bingley,6
pride-and-prejudice,17,Miss Bingley,0
pride-and-prejudice,17,Wickham,8
pride-and-prejudice,17,Lydia,2
pride-and-prejudice,17,Mr Collins,4
pride-and-prejudice,17,Charlotte,0
pride-and-prejudice,17,Mrs Bennet,3
pride-and-prejudice,17,Mr Bennet,0
pride-and-prejudice,17,Lady Catherine,1
pride-and-prejudice,18,Elizabeth,29
pride-and-prejudice,18,Darcy,41
pride-and-prejudice,18,Jane,12
pride-and-prejudice,18,Mr Bingley,20
pride-and-prejudice,18,Miss Bingley,3
pride-and-prejudice,18,Wickham,17
pride-and-prejudice,18,Lydia,3
pride-and-prejudice,18,Mr Collins,12
pride-and-prejudice,18,Charlotte,4
pride-and-prejudice,18,Mrs Bennet,6
pride-and-prejudice,18,Mr Bennet,2
pride-and-prejudice,18,Lady Catherine,4
pride-and-prejudice,19,Elizabeth,14
pride-and-prejudice,19,Darcy,0
pride-and-prejudice,19,Jane,0
pride-and-prejudice,19,Mr Bingley,0
pride-and-prejudice,19,Miss Bingley,0
pride-and-prejudice,19,Wickham,0
pride-and-prejudice,19,Lydia,0
pride-and-prejudice,19,Mr Collins,11
pride-and-prejudice,19,Charlotte,0
pride-and-prejudice,19,Mrs Bennet,2
pride-and-prejudice,19,Mr Bennet,0
pride-and-prejudice,19,Lady Catherine,3
pride-and-prejudice,20,Elizabeth,19
pride-and-prejudice,20,Darcy,0
pride-and-prejudice,20,Jane,4
pride-and-prejudice,20,Mr Bingley,0
pride-and-prejudice,20,Miss Bingley,0
pride-and-prejudice,20,Wickham,0
pride-and-prejudice,20,Lydia,2
pride-and-prejudice,20,Mr Collins,16
pride-and-prejudice,20,Charlotte,4
pride-and-prejudice,20,Mrs Bennet,10
pride-and-prejudice,20,Mr Bennet,5
pride-and-prejudice,20,Lady Catherine,0
pride-and-prejudice,21,Elizabeth,9
pride-and-prejudice,21,Darcy,7
pride-and-prejudice,21,Jane,13
pride-and-prejudice,21,Mr Bingley,5
pride-and-prejudice,21,Miss Bingley,11
pride-and-prejudice,21,Wickham,3
pride-and-prejudice,21,Lydia,0
pride-and-prejudice,21,Mr Collins,2
pride-and-prejudice,21,Charlotte,0
