genus,named_by,first_mya,last_mya,first_stage,last_stage,finds
Herrerasaurus,Reig 1963,237.0,227.3,Carnian,,11
Frenguellisaurus,Novas 1986,237.0,227.3,Carnian,,11
Ischisaurus,Reig 1963,237.0,227.3,Carnian,,11
Archaeocursor,Yao et al. 2025,199.5,184.2,Sinemurian,Pliensbachian,1
Xiaosaurus,Dong and Tang 1983,170.9,154.8,Bajocian,Oxfordian,1
Gongbusaurus,Dong et al. 1983,168.2,154.8,Bathonian,Oxfordian,5
Ferganocephale,Averianov et al. 2005,165.3,161.5,Callovian,,3
Krzyzanowskisaurus,Heckert 2005,237.0,205.7,Carnian,Norian,4
Chilesaurus,Novas et al. 2015,149.2,143.1,Tithonian,,1
Pisanosaurus,Casamiquela 1967,233.6,227.3,Carnian,,1
Laquintasaura,Barrett et al. 2014,201.4,199.5,Hettangian,,1
Scutellosaurus,Colbert 1981,201.4,184.2,Hettangian,Pliensbachian,23
Lesothosaurus,Galton 1978,201.4,192.9,Hettangian,Sinemurian,9
Jakapil,Riguetti et al. 2022,113.2,110.1,Albian,,1
Spicomellus,Maidment et al. 2021,168.2,161.5,Bathonian,Callovian,1
Sarcolestes,Lydekker 1893,165.3,161.5,Callovian,,2
Vectipelta,Pond et al. 2023,139.1,137.05,Berriasian,,1
Mymoorapelta,Kirkland and Carpenter 1994,154.8,143.1,Kimmeridgian,Tithonian,3
Stegouros,Soto-Acuña et al. 2021,83.6,66.0,Campanian,Maastrichtian,1
Antarctopelta,Salgado and Gasparini 2006,83.6,72.2,Campanian,,1
Kunbarrasaurus,Leahey et al. 2015,106.3,100.5,Albian,,2
Ahshislepelta,Burns and Sullivan 2011,83.6,72.2,Campanian,,1
Shamosaurus,Tumanova 1983,121.4,100.5,Aptian,Albian,2
Chuanqilong,Han et al. 2014,121.4,113.2,Aptian,,1
Gobisaurus,Vickaryous et al. 2001,121.4,100.5,Aptian,Albian,2
Zhongyuansaurus,Xu et al. 2007,121.4,100.5,Aptian,Albian,2
Huaxiazhoulong,Zhu et al. 2024,83.6,72.2,Campanian,,1
Datai,Xing et al. 2024,93.9,85.7,Turonian,Coniacian,1
Liaoningosaurus,Xu et al. 2001,125.77,119.57,Barremian,Aptian,1
Ankylosaurus,Brown 1908,83.6,66.0,Campanian,Maastrichtian,16
Oohkotokia,Penkalski 2014,83.6,72.2,Campanian,,5
Zaraapelta,Arbour et al. 2014,100.5,83.6,Cenomanian,Santonian,1
Eopinacosaurus,Penkalski 2026,83.6,72.2,Campanian,,2
Talarurus,Maleev 1952,100.5,83.6,Cenomanian,Santonian,3
Crichtonpelta,Arbour and Currie 2016,106.3,89.8,Albian,Turonian,2
Pinacosaurus,Gilmore 1933,89.8,72.2,Coniacian,Campanian,24
Syrmosaurus,Maleev 1952,89.8,72.2,Coniacian,Campanian,24
Nodocephalosaurus,Sullivan 1999,83.6,72.2,Campanian,,6
Jinyunpelta,Zheng et al. 2018,113.2,100.5,Albian,,1
Saichania,Maryanska 1977,100.5,72.2,Cenomanian,Campanian,5
Tianzhenosaurus,Pang and Cheng 1998,100.5,72.2,Cenomanian,Campanian,5
Shanxia,Barrett et al. 1998,100.5,72.2,Cenomanian,Campanian,5
Euoplocephalus,Lambe 1910,83.6,66.0,Campanian,Maastrichtian,18
Stereocephalus,Lambe 1902,83.6,66.0,Campanian,Maastrichtian,18
Dyoplosaurus,Parks 1924,83.6,72.2,Campanian,,1
Scolosaurus,Nopcsa 1928,83.6,72.2,Campanian,,4
Anodontosaurus,Sternberg 1929,83.6,66.0,Campanian,Maastrichtian,14
Platypelta,Penkalski 2018,83.6,72.2,Campanian,,7
Tarchia,Maryanska 1977,83.6,66.0,Campanian,Maastrichtian,4
Ziapelta,Arbour et al. 2014,83.6,72.2,Campanian,,1
Akainacephalus,Wiersma and Irmis 2018,83.6,72.2,Campanian,,1
Zuul,Arbour and Evans 2017,83.6,72.2,Campanian,,1
Tsagantegia,Tumanova 1993,100.5,83.6,Cenomanian,Santonian,2
Aletopelta,Ford and Kirkland 2001,83.6,72.2,Campanian,,1
Bissektipelta,Parish and Barrett 2004,93.9,89.8,Turonian,,1
Cedarpelta,Carpenter et al. 2001,121.4,100.5,Aptian,Albian,3
Taohelong,Yang et al. 2013,125.77,113.2,Barremian,Aptian,1
Glyptodontopelta,Ford 2000,83.6,66.0,Campanian,Maastrichtian,11
Europelta,Kirkland et al. 2013,113.2,110.1,Albian,,1
Niobrarasaurus,Carpenter et al. 1995,89.8,83.6,Coniacian,Santonian,2
Peloroplites,Carpenter et al. 2008,121.4,100.5,Aptian,Albian,1
Gargoyleosaurus,Carpenter et al. 1998,152.21,145.06,Kimmeridgian,Tithonian,1
Nodosaurus,Marsh 1889,100.5,66.0,Cenomanian,Maastrichtian,3
Panoplosaurus,Lambe 1919,83.6,66.0,Campanian,Maastrichtian,15
Pawpawsaurus,Lee 1996,106.3,100.5,Albian,,1
Tatankacephalus,Parsons and Parsons 2009,113.2,100.5,Albian,,1
Propanoplosaurus,Stanford et al. 2011,119.57,113.2,Aptian,,1
Sauroplites,Bohlin 1953,121.4,113.2,Aptian,,1
Texasetes,Coombs 1995,106.3,100.5,Albian,,2
Patagopelta,Riguetti et al. 2022,72.2,66.0,Maastrichtian,,1
Sauropelta,Ostrom 1970,121.4,93.9,Aptian,Cenomanian,34
Silvisaurus,Eaton 1960,106.3,100.5,Albian,,2
Polacanthus,Fox 1866,139.1,100.5,Berriasian,Albian,16
Euacanthus,Owen 1897,139.1,100.5,Berriasian,Albian,16
Vectensia,Delair 1982,139.1,100.5,Berriasian,Albian,16
Acantholipan,Rivera-Sylva et al. 2018,83.6,72.2,Campanian,,1
Struthiosaurus,Bunzel 1870,83.6,66.0,Campanian,Maastrichtian,23
Danubiosaurus,Bunzel 1871,83.6,66.0,Campanian,Maastrichtian,23
Crataeomus,Seeley 1881,83.6,66.0,Campanian,Maastrichtian,23
Leipsanosaurus,Nopcsa 1918,83.6,66.0,Campanian,Maastrichtian,23
Pleuropeltus,Seeley 1881,83.6,66.0,Campanian,Maastrichtian,23
Stegopelta,Williston 1905,100.5,93.9,Cenomanian,,1
Gastonia,Kirkland 1998,137.05,100.5,Valanginian,Albian,3
Dongyangopelta,Chen et al. 2013,113.2,93.9,Albian,Cenomanian,1
Anoplosaurus,Seeley 1879,100.5,93.9,Cenomanian,,1
Hungarosaurus,Osi 2005,85.7,83.6,Santonian,,2
Borealopelta,Brown et al. 2017,121.4,113.2,Aptian,,1
Animantarx,Carpenter et al. 1999,121.4,100.5,Aptian,Albian,1
Hylaeosaurus,Mantell 1833,139.1,110.1,Berriasian,Albian,10
Invictarx,McDonald and Wolfe 2018,83.6,72.2,Campanian,,1
Hoplitosaurus,Lucas 1902,125.77,113.2,Barremian,Aptian,2
Edmontonia,Sternberg 1928,83.6,66.0,Campanian,Maastrichtian,16
Denversaurus,Bakker 1988,83.6,66.0,Campanian,Maastrichtian,16
Chassternbergia,(Bakker 1988),83.6,66.0,Campanian,Maastrichtian,16
Sinankylosaurus,Wang et al. 2020,83.6,72.2,Campanian,,1
Dracopelta,Galton 1980,145.06,143.1,Tithonian,,1
Huayangosaurus,Dong et al. 1982,170.9,154.8,Bajocian,Oxfordian,1
Baiyinosaurus,Li et al. 2024,168.2,165.3,Bathonian,,1
Gigantspinosaurus,Ouyang 1992,168.2,161.5,Bathonian,Callovian,1
Isaberrysaura,Salgado et al. 2017,170.9,168.6,Bajocian,,1
Bashanosaurus,Hui et al. 2022,168.2,161.5,Bathonian,Callovian,1
Thyreosaurus,Zafaty et al. 2024,168.2,161.5,Bathonian,Callovian,1
Adratiklit,Maidment et al. 2020,168.2,161.5,Bathonian,Callovian,1
Kentrosaurus,Hennig 1915,161.5,143.1,Oxfordian,Tithonian,27
Doryphorosaurus,Nopcsa 1916,161.5,143.1,Oxfordian,Tithonian,27
Kentrurosaurus,Hennig 1916,161.5,143.1,Oxfordian,Tithonian,27
Dacentrurus,Lucas 1902,154.8,121.4,Kimmeridgian,Barremian,31
Miragaia,Mateus et al. 2009,154.8,121.4,Kimmeridgian,Barremian,31
Natronasaurus,Ulansky 2014,154.8,121.4,Kimmeridgian,Barremian,31
Omosaurus,Owen 1875,154.8,121.4,Kimmeridgian,Barremian,31
Stegosaurus,Marsh 1877,161.5,93.9,Oxfordian,Cenomanian,86
Hypsirophus,Cope 1878,161.5,93.9,Oxfordian,Cenomanian,86
Diracodon,Marsh 1881,161.5,93.9,Oxfordian,Cenomanian,86
Yanbeilong,Jia et al. 2024,113.2,100.5,Albian,,1
Jiangjunosaurus,Jia et al. 2007,161.5,154.8,Oxfordian,,1
Wuerhosaurus,Dong 1973,137.05,100.5,Valanginian,Albian,3
Hesperosaurus,Carpenter et al. 2001,157.9,143.1,,,8
Loricatosaurus,Maidment et al. 2008,165.3,161.5,Callovian,,2
Changdusaurus,Zhao 1985,174.7,161.5,Aalenian,Callovian,1
Tuojiangosaurus,Dong et al. 1977,168.2,161.5,Bathonian,Callovian,1
Mongolostegus,Tumanova and Alifanov 2018,121.4,100.5,Aptian,Albian,1
Yingshanosaurus,Zhou 1986,168.2,161.5,Bathonian,Callovian,1
Paranthodon,Nopcsa 1929,143.1,132.6,Berriasian,Valanginian,1
Chungkingosaurus,Dong et al. 1983,168.2,161.5,Bathonian,Callovian,4
Yuxisaurus,Yao et al. 2022,192.9,184.2,Pliensbachian,,1
Scelidosaurus,Owen 1859,205.7,174.7,Rhaetian,Toarcian,13
Emausaurus,Haubold 1990,184.2,182.9,Toarcian,,1
Tianyulong,Zheng et al. 2009,168.2,152.21,Bathonian,Kimmeridgian,1
Abrictosaurus,Hopson 1975,201.4,192.9,Hettangian,Sinemurian,1
Pegomastax,Sereno 2012,201.4,192.9,Hettangian,Sinemurian,1
Lycorhinus,Haughton 1924,201.4,184.2,Hettangian,Pliensbachian,5
Lanasaurus,Gow 1975,201.4,184.2,Hettangian,Pliensbachian,5
Heterodontosaurus,Crompton and Charig 1962,201.4,184.2,Hettangian,Pliensbachian,7
Manidens,Pol et al. 2011,184.2,170.9,Toarcian,Aalenian,2
Fruitadens,Butler et al. 2010,149.2,143.1,Tithonian,,4
Echinodon,Owen 1861,152.21,137.05,Kimmeridgian,Berriasian,6
Eocursor,Butler et al. 2007,201.4,192.9,Hettangian,Sinemurian,1
Asilisaurus,Nesbitt et al. 2010,247.0,241.464,,,4
Gamatavus,Pretto et al. 2022,241.464,237.0,Ladinian,,1
Amanasaurus,Müller and Garcia 2023,237.0,227.3,Carnian,,1
Lewisuchus,Romer 1972,241.464,233.6,Ladinian,Carnian,4
Pseudolagosuchus,Arcucci 1987,241.464,233.6,Ladinian,Carnian,4
Soumyasaurus,Sarigul et al. 2018,227.3,205.7,Norian,,1
Silesaurus,Dzik 2003,233.6,227.3,Carnian,,3
Eucoelophysis,Sullivan and Lucas 1999,227.3,201.4,Norian,Rhaetian,2
Lutungutali,Peecook et al. 2013,247.0,227.3,,,1
Kwanasaurus,Martz and Small 2019,227.3,201.4,Norian,Rhaetian,6
Sacisaurus,Ferigolo and Langer 2007,227.3,205.7,Norian,,1
Technosaurus,Chatterjee 1984,227.3,205.7,Norian,,1
Diodorus,Kammerer et al. 2012,237.0,205.7,Carnian,Norian,1
Minimocursor,Manitkoon et al. 2023,149.2,137.05,Tithonian,Berriasian,1
Jeholosaurus,Xu et al. 2000,125.77,119.57,Barremian,Aptian,2
Parksosaurus,Sternberg 1937,72.2,66.0,Maastrichtian,,3
Changmiania,Yang et al. 2020,125.77,119.57,Barremian,Aptian,1
Thescelosaurus,Gilmore 1913,93.9,66.0,Turonian,Maastrichtian,55
Bugenasaura,Galton 1995,93.9,66.0,Turonian,Maastrichtian,55
Fona,Avrahami et al. 2024,100.5,93.9,Cenomanian,,3
Doolysaurus,Jung et al. 2026,113.2,93.9,Albian,Cenomanian,1
Nevadadromeus,Bonde et al. 2022,100.5,93.9,Cenomanian,,1
Koreanosaurus,Huh et al. 2011,83.6,72.2,Campanian,,2
Haya,Makovicky et al. 2011,85.7,72.2,Santonian,Campanian,2
Oryctodromeus,Varricchio et al. 2007,106.3,93.9,Albian,Cenomanian,9
Zephyrosaurus,Sues 1980,121.4,100.5,Aptian,Albian,4
Yueosaurus,Zheng et al. 2012,113.2,93.9,Albian,Cenomanian,1
Orodromeus,Horner and Weishampel 1988,83.6,66.0,Campanian,Maastrichtian,9
Albertadromeus,Brown et al. 2013,83.6,72.2,Campanian,,1
Stormbergia,Butler 2005,201.4,192.9,Hettangian,Sinemurian,1
Yandusaurus,He 1979,170.9,168.2,Bajocian,,2
Nanosaurus,Marsh 1877,157.9,143.1,,,32
Drinker,Bakker et al. 1990,157.9,143.1,,,32
Othnielosaurus,Galton 2007,157.9,143.1,,,32
Enigmacursor,Maidment and Barrett 2025,154.8,143.1,Kimmeridgian,Tithonian,1
Chaoyangsaurus,Zhao et al. 1999,152.21,132.6,Kimmeridgian,Valanginian,1
Chaoyangosaurus,Zhao and Cheng 1983,152.21,132.6,Kimmeridgian,Valanginian,1
Hualianceratops,Han et al. 2015,161.5,154.8,Oxfordian,,1
Xuanhuaceratops,Zhao et al. 2006,152.21,132.6,Kimmeridgian,Valanginian,1
Stenopelix,Meyer 1857,139.1,137.05,Berriasian,,1
Yinlong,Xu et al. 2006,161.5,154.8,Oxfordian,,1
Styracosaurus,Lambe 1913,83.6,72.2,Campanian,,10
Centrosaurus,Lambe 1905,83.6,66.0,Campanian,Maastrichtian,57
Spinops,Farke et al. 2011,83.6,72.2,Campanian,,1
Rubeosaurus,McDonald and Horner 2010,83.6,72.2,Campanian,,2
Coronosaurus,Ryan et al. 2012,83.6,72.2,Campanian,,2
Crittendenceratops,Dalman et al. 2018,83.6,72.2,Campanian,,2
Yehuecauhceratops,Rivera-Sylva et al. 2017,83.6,72.2,Campanian,,1
Furcatoceratops,Ishikawa et al. 2023,83.6,72.2,Campanian,,1
Nasutoceratops,Sampson et al. 2013,83.6,72.2,Campanian,,1
Avaceratops,Dodson 1986,83.6,72.2,Campanian,,3
Wendiceratops,Evans and Ryan 2015,83.6,72.2,Campanian,,1
Pachyrhinosaurus,Sternberg 1950,83.6,66.0,Campanian,Maastrichtian,16
Einiosaurus,Sampson 1994,83.6,72.2,Campanian,,3
Achelousaurus,Sampson 1994,83.6,72.2,Campanian,,2
Xenoceratops,Ryan et al. 2012,83.6,72.2,Campanian,,1
Monoclonius,Cope 1876,83.6,72.2,Campanian,,13
Sinoceratops,Xu et al. 2010,83.6,72.2,Campanian,,1
Stellasaurus,Wilson et al. 2020,83.6,72.2,Campanian,,1
Diabloceratops,Kirkland and Deblieux 2010,83.6,72.2,Campanian,,2
Menefeeceratops,Dalman et al. 2021,83.6,72.2,Campanian,,1
Machairoceratops,Lund et al. 2016,83.6,72.2,Campanian,,1
Anchiceratops,Brown 1914,83.6,66.0,Campanian,Maastrichtian,7
Spiclypeus,Mallon et al. 2016,83.6,72.2,Campanian,,1
Torosaurus,Marsh 1891,83.6,66.0,Campanian,Maastrichtian,12
Triceratops,Marsh 1889,83.6,66.0,Campanian,Maastrichtian,166
Nedoceratops,Ukrainsky 2007,83.6,66.0,Campanian,Maastrichtian,166
Diceratops,Hatcher and Lull 1905,83.6,66.0,Campanian,Maastrichtian,166
Diceratus,Mateus 2008,83.6,66.0,Campanian,Maastrichtian,166
Ojoceratops,Sullivan and Lucas 2010,83.6,66.0,Campanian,Maastrichtian,166
Sterrholophus,Marsh 1891,83.6,66.0,Campanian,Maastrichtian,166
Tatankaceratops,Ott and Larson 2010,83.6,66.0,Campanian,Maastrichtian,166
Eotriceratops,Wu et al. 2007,72.2,66.0,Maastrichtian,,1
Regaliceratops,Brown and Henderson 2015,72.2,66.0,Maastrichtian,,1
Judiceratops,Longrich 2013,83.6,72.2,Campanian,,1
Kosmoceratops,Sampson et al. 2010,83.6,72.2,Campanian,,2
Bravoceratops,Wick and Lehman 2013,72.2,66.0,Maastrichtian,,1
Utahceratops,Sampson et al. 2010,83.6,72.2,Campanian,,9
Coahuilaceratops,Loewen et al. 2010,72.2,66.0,Maastrichtian,,1
Sierraceratops,Dalman et al. 2022,83.6,66.0,Campanian,Maastrichtian,1
Vagaceratops,Sampson 2010,83.6,72.2,Campanian,,7
Mercuriceratops,Ryan et al. 2014,83.6,72.2,Campanian,,7
Chasmosaurus,Lambe 1914,83.6,72.2,Campanian,,21
Mojoceratops,Longrich 2010,83.6,72.2,Campanian,,21
Eoceratops,Lambe 1915,83.6,72.2,Campanian,,21
Protorosaurus,Lambe 1914,83.6,72.2,Campanian,,21
Bisticeratops,Dalman et al. 2022,83.6,72.2,Campanian,,1
Pentaceratops,Osborn 1923,83.6,66.0,Campanian,Maastrichtian,14
Agujaceratops,Lucas et al. 2006,83.6,72.2,Campanian,,16
Arrhinoceratops,Parks 1925,83.6,66.0,Campanian,Maastrichtian,3
Navajoceratops,Fowler and Freedman Fowler 2020,83.6,72.2,Campanian,,1
Terminocavus,Fowler and Freedman Fowler 2020,83.6,72.2,Campanian,,1
Lokiceratops,Loewen et al. 2024,83.6,72.2,Campanian,,1
Medusaceratops,Ryan et al. 2010,83.6,72.2,Campanian,,1
Albertaceratops,Ryan 2007,83.6,72.2,Campanian,,2
Ajkaceratops,Osi et al. 2010,85.7,83.6,Santonian,,1
Serendipaceratops,Rich and Vickers-Rich 2003,121.4,119.57,Aptian,,1
Psittacosaurus,Osborn 1923,137.05,100.5,Valanginian,Albian,70
Hongshanosaurus,You et al. 2003,137.05,100.5,Valanginian,Albian,70
Protiguanodon,Osborn 1923,137.05,100.5,Valanginian,Albian,70
Liaoceratops,Xu et al. 2002,125.77,119.57,Barremian,Aptian,2
Montanoceratops,Sternberg 1951,83.6,66.0,Campanian,Maastrichtian,3
Helioceratops,Jin et al. 2009,121.4,100.5,Aptian,Albian,1
Zhuchengceratops,Xu et al. 2010,83.6,72.2,Campanian,,1
Udanoceratops,Kurzanov 1992,83.6,72.2,Campanian,,1
Ischioceratops,He et al. 2015,83.6,72.2,Campanian,,1
Unescoceratops,Ryan et al. 2012,83.6,72.2,Campanian,,1
Cerasinops,Chinnery and Horner 2007,83.6,72.2,Campanian,,3
Koreaceratops,Lee et al. 2010,113.2,100.5,Albian,,1
Leptoceratops,Brown 1914,72.2,66.0,Maastrichtian,,8
Prenoceratops,Chinnery 2004,83.6,72.2,Campanian,,2
Gremlin,Ryan et al. 2023,83.6,72.2,Campanian,,2
Gryphoceratops,Ryan et al. 2012,85.7,83.6,Santonian,,1
Ferrisaurus,Arbour and Evans 2019,72.2,66.0,Maastrichtian,,1
Auroraceratops,You et al. 2005,113.2,110.1,Albian,,2
Aquilops,Farke et al. 2014,110.1,100.5,Albian,,1
Beg,Yu et al. 2020,106.3,93.9,Albian,Cenomanian,1
Archaeoceratops,Dong and Azuma 1997,121.4,110.1,Aptian,Albian,3
Sasayamagnomus,Tanaka et al. 2024,113.2,110.1,Albian,,1
Yamaceratops,Makovicky and Norell 2006,85.7,72.2,Santonian,Campanian,2
Mosaiceratops,Zheng et al. 2015,93.9,72.2,Turonian,Campanian,1
Turanoceratops,Nessov et al. 1989,93.9,89.8,Turonian,,6
Zuniceratops,Wolfe and Kirkland 1998,93.9,89.8,Turonian,,3
Breviceratops,Kurzanov 1990,83.6,72.2,Campanian,,2
Bagaceratops,Maryanska and Osmólska 1975,83.6,66.0,Campanian,Maastrichtian,18
Magnirostris,You and Dong 2003,83.6,66.0,Campanian,Maastrichtian,18
Lamaceratops,Alifanov 2003,83.6,66.0,Campanian,Maastrichtian,18
Gobiceratops,Alifanov 2008,83.6,66.0,Campanian,Maastrichtian,18
Platyceratops,Alifanov 2003,83.6,66.0,Campanian,Maastrichtian,18
Protoceratops,Granger and Gregory 1923,121.4,72.2,Aptian,Campanian,38
Bainoceratops,Tereshchenko and Alifanov 2003,121.4,72.2,Aptian,Campanian,38
Graciliceratops,Sereno 2000,100.5,83.6,Cenomanian,Santonian,1
Asiaceratops,Nessov et al. 1989,100.5,93.9,Cenomanian,,8
Micropachycephalosaurus,Dong 1978,89.8,83.6,Coniacian,Santonian,1
Notoceratops,Tapia 1919,72.2,66.0,Maastrichtian,,1
Ferenceratops,Maidment et al. 2026,72.2,66.0,Maastrichtian,,9
Albalophosaurus,Ohashi and Barrett 2009,125.77,121.4,Barremian,,1
Goyocephale,Perle et al. 1982,85.7,66.0,Santonian,Maastrichtian,1
Tylocephale,Maryańska and Osmólska 1974,83.6,72.2,Campanian,,1
Colepiocephale,Sullivan 2003,83.6,72.2,Campanian,,4
Sinocephale,Evans et al. 2021,83.6,66.0,Campanian,Maastrichtian,1
Brontotholus,Woodruff et al. 2025,83.6,72.2,Campanian,,4
Acrotholus,Evans et al. 2013,85.7,83.6,Santonian,,1
Sphaerotholus,Williamson and Carr 2003,83.6,66.0,Campanian,Maastrichtian,6
Platytholus,Horner et al. 2023,72.2,66.0,Maastrichtian,,1
Foraminacephale,Schott and Evans 2017,83.6,72.2,Campanian,,5
Amtocephale,Watabe et al. 2011,100.5,83.6,Cenomanian,Santonian,1
Alaskacephale,Sullivan 2006,72.2,66.0,Maastrichtian,,1
Zavacephale,Chinzorig et al. 2025,119.57,100.5,Aptian,Albian,1
Wannanosaurus,Hou 1977,72.2,66.0,Maastrichtian,,1
Prenocephale,Maryańska and Osmólska 1974,83.6,66.0,Campanian,Maastrichtian,6
Stegoceras,Lambe 1902,83.6,66.0,Campanian,Maastrichtian,46
Ornatotholus,Galton and Sues 1983,83.6,66.0,Campanian,Maastrichtian,46
Hanssuessia,Sullivan 2003,83.6,66.0,Campanian,Maastrichtian,46
Gravitholus,Wall and Galton 1979,83.6,66.0,Campanian,Maastrichtian,46
Homalocephale,Maryańska and Osmólska 1974,72.2,66.0,Maastrichtian,,2
Pachycephalosaurus,Brown and Schlaikjer 1943,83.6,66.0,Campanian,Maastrichtian,34
Stygimoloch,Galton and Sues 1983,83.6,66.0,Campanian,Maastrichtian,34
Stenotholus,Giffin et al. 1988,83.6,66.0,Campanian,Maastrichtian,34
Dracorex,Bakker et al. 2006,83.6,66.0,Campanian,Maastrichtian,34
Tylosteus,Leidy 1872,83.6,66.0,Campanian,Maastrichtian,34
Burianosaurus,Madzia et al. 2018,100.5,93.9,Cenomanian,,1
Daurosaurus,Alifanov and Saveliev 2014,168.2,165.3,Bathonian,,1
Hypsilophodon,Huxley 1870,154.8,119.57,Kimmeridgian,Aptian,10
Gideonmantellia,Ruiz-Omeñaca et al. 2012,125.77,121.4,Barremian,,1
Vectidromeus,Longrich et al. 2024,143.1,100.5,Berriasian,Albian,1
Mantellisaurus,Paul 2007,143.1,119.57,Berriasian,Aptian,17
Mantellodon,Paul 2012,143.1,119.57,Berriasian,Aptian,17
Dollodon,Paul 2008,143.1,119.57,Berriasian,Aptian,17
Planicoxa,DiCroce and Carpenter 2001,121.4,113.2,Aptian,,1
Craspedodon,Dollo 1883,89.8,83.6,Coniacian,Santonian,1
Lurdusaurus,Taquet and Russell 1999,113.2,100.5,Albian,,1
Gravisaurus,Chabli 1988,113.2,100.5,Albian,,1
Draconyx,Mateus and Antunes 2001,149.2,145.06,Tithonian,,1
Owenodon,Galton 2009,149.2,137.05,Tithonian,Berriasian,6
Hesperonyx,Rotatori et al. 2024,152.21,149.2,Kimmeridgian,,1
Oblitosaurus,Sánchez-Fenollosa et al. 2023,152.21,143.1,Kimmeridgian,Tithonian,1
Eousdryosaurus,Escaso et al. 2014,152.21,145.06,Kimmeridgian,Tithonian,1
Valdosaurus,Galton 1977,154.8,119.57,Kimmeridgian,Aptian,12
Dysalotosaurus,Virchow 1919,152.21,149.2,Kimmeridgian,,1
Elrhazosaurus,Galton 2009,121.4,113.2,Aptian,,1
Dryosaurus,Marsh 1894,154.8,143.1,Kimmeridgian,Tithonian,24
Ouranosaurus,Taquet 1972,121.4,66.0,Aptian,Maastrichtian,8
Altirhinus,Norman 1998,110.1,100.5,Albian,,1
Bolong,Wu et al. 2010,125.77,119.57,Barremian,Aptian,2
Barilium,Norman 2010,137.05,121.4,Valanginian,Barremian,5
Torilion,Carpenter and Ishida 2010,137.05,121.4,Valanginian,Barremian,5
Kukufeldia,McDonald et al. 2010,137.05,121.4,Valanginian,Barremian,5
Sellacoxa,Carpenter and Ishida 2010,137.05,121.4,Valanginian,Barremian,5
Hypselospinus,Norman 2010,139.1,132.6,Berriasian,Valanginian,9
Wadhurstia,Carpenter and Ishida 2010,139.1,132.6,Berriasian,Valanginian,9
Darwinsaurus,Paul 2012,139.1,132.6,Berriasian,Valanginian,9
Lophorhothon,Langston 1960,85.7,72.2,Santonian,Campanian,2
Bayannurosaurus,Xu et al. 2018,121.4,119.57,Aptian,,1
Iguanodon,Mantell 1825,154.8,66.0,Kimmeridgian,Maastrichtian,133
Therosaurus,Fitzinger 1843,154.8,66.0,Kimmeridgian,Maastrichtian,133
Struthopus,Ballerstedt 1922,154.8,66.0,Kimmeridgian,Maastrichtian,133
Heterosaurus,Cornuel 1850,154.8,66.0,Kimmeridgian,Maastrichtian,133
Iguanosaurus,Anonymous 1824,154.8,66.0,Kimmeridgian,Maastrichtian,133
Lanzhousaurus,You et al. 2005,125.77,113.2,Barremian,Aptian,1
Theiophytalia,Brill and Carpenter 2007,121.4,100.5,Aptian,Albian,1
Calvarius,Prieto-Márquez and Sellés 2023,72.2,66.0,Maastrichtian,,1
Napaisaurus,Ji and Zhang 2022,121.4,113.2,Aptian,,1
Magnamanus,Fuentes Vidarte et al. 2016,132.6,121.4,Hauterivian,Barremian,1
Riabininohadros,Ulansky 2015,72.2,66.0,Maastrichtian,,1
Siamodon,Buffetaut and Suteethorn 2011,121.4,113.2,Aptian,,1
Probactrosaurus,Rozhdestvensky 1966,121.4,100.5,Aptian,Albian,2
Yunganglong,Wang et al. 2013,100.5,83.6,Cenomanian,Santonian,1
Jeyawati,McDonald et al. 2010,93.9,89.8,Turonian,,1
Fylax,Prieto-Márquez and Carrera Farias 2021,72.2,66.0,Maastrichtian,,1
Protohadros,Head 1998,100.5,93.9,Cenomanian,,4
Nanningosaurus,Mo et al. 2007,100.5,66.0,Cenomanian,Maastrichtian,1
Telmatosaurus,Nopcsa 1903,83.6,66.0,Campanian,Maastrichtian,23
Hecatasaurus,Brown 1910,83.6,66.0,Campanian,Maastrichtian,23
Limnosaurus,Nopcsa 1900,83.6,66.0,Campanian,Maastrichtian,23
Kryptohadros,Magyar et al. 2026,72.2,66.0,Maastrichtian,,1
Tethyshadros,Dalla Vecchia 2009,83.6,72.2,Campanian,,1
Gonkoken,Alarcón-Muñoz et al. 2023,72.2,66.0,Maastrichtian,,1
Zhanghenglong,Xing et al. 2014,85.7,83.6,Santonian,,1
Bactrosaurus,Gilmore 1933,93.9,72.2,Turonian,Campanian,8
Gongpoquansaurus,You et al. 2014,113.2,110.1,Albian,,1
Fukuisaurus,Kobayashi and Azuma 2003,121.4,113.2,Aptian,,1
Koshisaurus,Shibata and Azuma 2015,121.4,113.2,Aptian,,1
Gilmoreosaurus,Brett-Surman 1979,83.6,72.2,Campanian,,2
Jintasaurus,You and Li 2009,121.4,113.2,Aptian,,1
Penelopognathus,Godefroit et al. 2005,121.4,113.2,Aptian,,1
Huehuecanauhtlus,Ramírez-Velasco et al. 2012,85.7,83.6,Santonian,,2
Portellsaurus,Santos-Cubedo et al. 2021,125.77,121.4,Barremian,,1
Ratchasimasaurus,Shibata et al. 2011,121.4,113.2,Aptian,,1
Eolambia,Kirkland 1998,121.4,93.9,Aptian,Cenomanian,12
Nanyangosaurus,Xu et al. 2000,93.9,72.2,Turonian,Campanian,1
Equijubus,You et al. 2003,113.2,110.1,Albian,,1
Cariocecus,Bertozzo et al. 2025,125.77,121.4,Barremian,,1
