genus,named_by,first_mya,last_mya,first_stage,last_stage,finds
Bravasaurus,Hechenleitner et al. 2020,83.6,66.0,Campanian,Maastrichtian,1
Overosaurus,Coria et al. 2013,85.7,83.6,Santonian,,1
Maxakalisaurus,Kellner et al. 2006,83.6,66.0,Campanian,Maastrichtian,3
Chadititan,Agnolin et al. 2025,83.6,72.2,Campanian,,1
Uberabatitan,Salgado and Carvalho 2008,72.2,66.0,Maastrichtian,,1
Muyelensaurus,Calvo et al. 2007,89.8,83.6,Coniacian,Santonian,1
Punatitan,Hechenleitner et al. 2020,83.6,66.0,Campanian,Maastrichtian,1
Rinconsaurus,Calvo and González Riga 2003,85.7,83.6,Santonian,,1
Pitekunsaurus,Filippi and Garrido 2008,83.6,72.2,Campanian,,1
Brasilotitan,Machado et al. 2013,83.6,66.0,Campanian,Maastrichtian,1
Arrudatitan,Silva Junior et al. 2022,83.6,66.0,Campanian,Maastrichtian,1
Notocolossus,González Riga et al. 2016,89.8,83.6,Coniacian,Santonian,2
Quetecsaurus,González Riga and Ortiz David 2014,93.9,89.8,Turonian,,1
Drusilasaura,Navarrete et al. 2011,100.5,89.8,Cenomanian,Turonian,1
Futalognkosaurus,Calvo et al. 2007,93.9,85.7,Turonian,Coniacian,1
Phosphatotitan,Longrich et al. 2026,72.2,66.0,Maastrichtian,,1
Mendozasaurus,González-Riga 2003,89.8,85.7,Coniacian,,1
Traukutitan,Juárez Valieri and Calvo 2011,85.7,83.6,Santonian,,1
Austroposeidon,Bandeira et al. 2016,83.6,66.0,Campanian,Maastrichtian,1
Yeneen,Filippi et al. 2026,85.7,83.6,Santonian,,1
Borealosaurus,You et al. 2004,106.3,100.5,Albian,,1
Mnyamawamtuka,Gorscak and O'Connor 2019,121.4,93.9,Aptian,Cenomanian,1
Tiamat,Pereira et al. 2024,113.2,93.9,Albian,Cenomanian,1
Gandititan,Han et al. 2024,100.5,89.8,Cenomanian,Turonian,1
Baotianmansaurus,Zhang et al. 2009,93.9,72.2,Turonian,Campanian,1
Dongyangosaurus,Lü et al. 2008,100.5,89.8,Cenomanian,Turonian,1
Choconsaurus,Simón et al. 2018,110.1,106.3,Albian,,1
Argyrosaurus,Lydekker 1893,83.6,66.0,Campanian,Maastrichtian,1
Barrosasaurus,Salgado and Coria 2009,93.9,72.2,Turonian,Campanian,2
Ninjatitan,Gallina et al. 2021,139.1,132.6,Berriasian,Valanginian,1
Aegyptosaurus,Stromer 1932,143.1,93.9,Berriasian,Cenomanian,7
Marisaurus,Malkani 2003,72.2,66.0,Maastrichtian,,5
Balochisaurus,Malkani 2004,72.2,66.0,Maastrichtian,,12
Qaikshaheen,Malkani 2023,72.2,66.0,Maastrichtian,,3
Pellegrinisaurus,Salgado 1996,72.2,66.0,Maastrichtian,,1
Epachthosaurus,Powell 1990,100.5,89.8,Cenomanian,Turonian,3
Arackar,Rubilar-Rogers et al. 2021,83.6,66.0,Campanian,Maastrichtian,1
Gondwanatitan,Kellner and Azevedo 1999,83.6,66.0,Campanian,Maastrichtian,2
Caieiria,Silva Junior et al. 2022,72.2,66.0,Maastrichtian,,1
Mesetasaurus,Soto Núñez et al. 2026,85.7,72.2,Santonian,Campanian,1
Aeolosaurus,Powell 1987,83.6,66.0,Campanian,Maastrichtian,6
Panamericansaurus,Calvo and Porfiri 2010,72.2,66.0,Maastrichtian,,1
Baurutitan,Kellner et al. 2005,72.2,66.0,Maastrichtian,,4
Trigonosaurus,Campos et al. 2005,72.2,66.0,Maastrichtian,,4
Uriash,Díez Díaz et al. 2025,72.2,66.0,Maastrichtian,,1
Titanomachya,Pérez-Moreno et al. 2024,72.2,66.0,Maastrichtian,,1
Udelartitan,Soto et al. 2024,100.5,83.6,Cenomanian,Santonian,1
Qingxiusaurus,Mo et al. 2008,100.5,66.0,Cenomanian,Maastrichtian,1
Igai,Gorscak et al. 2023,83.6,72.2,Campanian,,1
Nicksaurus,Malkani 2014,72.2,66.0,Maastrichtian,,1
Opisthocoelicaudia,Borsuk-Bialynicka 1977,72.2,66.0,Maastrichtian,,1
Neuquensaurus,Powell 1992,85.7,66.0,Santonian,Maastrichtian,15
Loricosaurus,Huene 1927,85.7,66.0,Santonian,Maastrichtian,15
Microcoelus,Lydekker 1893,85.7,66.0,Santonian,Maastrichtian,15
Saltasaurus,Bonaparte and Powell 1980,72.2,66.0,Maastrichtian,,1
Yamanasaurus,Apesteguía et al. 2020,72.2,66.0,Maastrichtian,,1
Ibirania,Navarro et al. 2022,85.7,72.2,Santonian,Campanian,3
Alamosaurus,Gilmore 1922,83.6,66.0,Campanian,Maastrichtian,38
Rocasaurus,Salgado and Azpilicueta 2000,72.2,66.0,Maastrichtian,,4
Bonatitan,Martinelli and Forasiepi 2004,72.2,66.0,Maastrichtian,,1
Zhuchengtitan,Mo et al. 2017,83.6,72.2,Campanian,,1
Qunkasaura,Mocho et al. 2024,83.6,66.0,Campanian,Maastrichtian,1
Abditosaurus,Vila et al. 2022,72.2,66.0,Maastrichtian,,2
Isisaurus,Wilson and Upchurch 2003,72.2,66.0,Maastrichtian,,7
Rapetosaurus,Curry Rogers and Forster 2001,72.2,66.0,Maastrichtian,,5
Tapuiasaurus,Zaher et al. 2011,121.4,113.2,Aptian,,1
Paralititan,Smith et al. 2001,100.5,93.9,Cenomanian,,2
Nullotitan,Novas et al. 2019,72.2,66.0,Maastrichtian,,3
Elaltitan,Mannion and Otero 2012,89.8,85.7,Coniacian,,1
Jainosaurus,Hunt et al. 1995,72.2,66.0,Maastrichtian,,1
Bustingorrytitan,Simón and Salgado 2023,110.1,106.3,Albian,,1
Atacamatitan,Kellner et al. 2011,100.5,66.0,Cenomanian,Maastrichtian,1
Shingopana,Gorscak et al. 2017,100.5,72.2,Cenomanian,Campanian,1
Nemegtosaurus,Nowinski 1971,89.8,66.0,Coniacian,Maastrichtian,3
Quaesitosaurus,Kurzanov and Bannikov 1983,83.6,72.2,Campanian,,1
Kaijutitan,Filippi et al. 2019,89.8,85.7,Coniacian,,1
Malawisaurus,Jacobs et al. 1993,121.4,113.2,Aptian,,8
Antarctosaurus,Huene 1927,89.8,66.0,Coniacian,Maastrichtian,8
Vahiny,Curry Rogers and Wilson 2014,72.2,66.0,Maastrichtian,,2
Hamititan,Wang et al. 2021,137.05,132.6,Valanginian,,1
Baalsaurus,Calvo and Gonzalez Riga 2019,93.9,85.7,Turonian,Coniacian,1
Abdarainurus,Averianov and Lopatin 2020,85.7,72.2,Santonian,Campanian,1
Malarguesaurus,González Riga et al. 2009,89.8,85.7,Coniacian,,2
Narambuenatitan,Filippi et al. 2011,83.6,72.2,Campanian,,1
Petrobrasaurus,Filippi et al. 2011,89.8,83.6,Coniacian,Santonian,1
Laplatasaurus,Huene 1927,83.6,72.2,Campanian,,1
Menucocelsior,Aranciaga Rolando et al. 2022,72.2,66.0,Maastrichtian,,2
Lohuecotitan,Díez Díaz et al. 2016,83.6,66.0,Campanian,Maastrichtian,1
Inawentu,Filippi et al. 2024,85.7,83.6,Santonian,,1
Petrustitan,Díez Díaz et al. 2025,72.2,66.0,Maastrichtian,,3
Dreadnoughtus,Lacovara et al. 2014,83.6,72.2,Campanian,,2
Patagotitan,Carballido et al. 2017,113.2,100.5,Albian,,1
Argentinosaurus,Bonaparte and Coria 1993,110.1,106.3,Albian,,1
Magyarosaurus,Huene 1932,72.2,66.0,Maastrichtian,,11
Bonitasaura,Apesteguía 2004,85.7,83.6,Santonian,,2
Normanniasaurus,Le Loeuff et al. 2013,110.1,106.3,Albian,,2
Paludititan,Csiki et al. 2010,72.2,66.0,Maastrichtian,,2
Garrigatitan,Díez Díaz et al. 2021,83.6,72.2,Campanian,,1
Lirainosaurus,Sanz et al. 1999,83.6,66.0,Campanian,Maastrichtian,10
Atsinganosaurus,Garcia et al. 2010,83.6,72.2,Campanian,,1
Ampelosaurus,Le Loeuff 1995,83.6,66.0,Campanian,Maastrichtian,5
Karongasaurus,Gomani 2005,121.4,113.2,Aptian,,2
Andesaurus,Calvo and Bonaparte 1991,113.2,110.1,Albian,,1
Ikqaumishan,Malkani 2023,72.2,66.0,Maastrichtian,,3
Gspsaurus,Malkani 2014,72.2,66.0,Maastrichtian,,7
Maojandino,Malkani 2014,72.2,66.0,Maastrichtian,,7
Saraikimasoom,Malkani 2014,72.2,66.0,Maastrichtian,,12
Khanazeem,Malkani 2022,72.2,66.0,Maastrichtian,,2
Khetranisaurus,Malkani 2004,72.2,66.0,Maastrichtian,,4
Imrankhanhero,Malkani 2023,72.2,66.0,Maastrichtian,,3
Sulaimanisaurus,Malkani 2004,72.2,66.0,Maastrichtian,,6
Pakisaurus,Malkani 2004,72.2,66.0,Maastrichtian,,12
